id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
--6MefnULPED_I942VcFNA,"John's Chinese BBQ Restaurant",,"328 Highway 7 E, Chalmers Gate 11, Unit 10","Richmond Hill",ON,"L4B 3P7",43.8409,-79.3996,3,30,1
--7zmmkVg-IMGaXbuVd0SQ,"Primal Brewery",,"16432 Old Statesville Rd",Huntersville,NC,28078,35.4371,-80.8437,4,42,1
--8LPVSo5i0Oo61X01sV9A,"Valley Bone and Joint Specialists",,"3941 E Baseline Rd, Ste 102",Gilbert,AZ,85234,33.3795,-111.728,4.5,3,1
--9e1ONYQuAa-CB_Rrw7Tw,"Delmonico Steakhouse","The Strip","3355 Las Vegas Blvd S","Las Vegas",NV,89109,36.1232,-115.169,4,1389,1
--9QQLMTbFzLJ_oT-ON3Xw,"Great Clips",,"1835 E Guadalupe Rd, Ste 106",Tempe,AZ,85283,33.3617,-111.91,3,9,1
--ab39IjZR_xUf81WyTyHg,"Famous Footwear",,"1800 E Rio Salado Pky 110, Tempe Marketplace",Tempe,AZ,85281,33.4301,-111.905,4,10,1
--cgVkbWTiga3OYTkymKqA,"Eazor's Auto Salon",,"616 Long Rd",Pittsburgh,PA,15235,40.4531,-79.8389,5,8,1
--cjBEbXMI2obtaRHNSFrA,"Howl at the Moon",Downtown,"125 7th St",Pittsburgh,PA,15222,40.4439,-80.0002,3,44,1
--cZ6Hhc9F7VkKXxHMVZSQ,"Pio Pio",Dilworth,"1408 E Blvd",Charlotte,NC,28203,35.1999,-80.8448,4,299,1
--DaPTJW3-tB1vP-PfdTEg,"Sunnyside Grill","Corso Italia","1218 Saint Clair Avenue W",Toronto,ON,M6E,43.6778,-79.4447,3.5,37,1
--DdmeR16TRb3LsjG0ejrQ,"World Food Championships","The Strip","3645 Las Vegas Blvd S","Las Vegas",NV,89109,36.1143,-115.171,3,5,1
--e8PjCNhEz32pprnPhCwQ,"Lucky's Pet Grooming & Boutique",Downtown,"1460 E Charleston Blvd","Las Vegas",NV,89104,36.1589,-115.133,3.5,16,1
--EX4rRznJrltyn-34Jz1w,"Bath & Body Works",,"6801 Northlake Mall Dr, Ste 172",Charlotte,NC,28216,35.3521,-80.8512,4,3,1
--FBCX-N37CMYDfs790Bnw,"The Bar At Bermuda & St. Rose",Southeast,"11624 Bermuda Rd",Henderson,NV,89052,35.9787,-115.155,4,100,1
--FLdgM0GNpXVMn74ppCGw,"Welch Physical Therapy",,"3011 S Lindsay Rd, Bldg 6, Ste 114",Gilbert,AZ,85296,33.2955,-111.773,3.5,6,1
--g-a85VwrdZJNf0R95GcQ,"Kabab House",,"3510 E Bell Rd, Ste 3",Phoenix,AZ,85032,33.6413,-112.006,4.5,24,0
--GM_ORV2cYS-h38DSaCLw,"Mm Mm Pizza",,"407 S Central Ave",Canonsburg,PA,15317,40.2526,-80.1839,4,7,1
--i1tTcggBi4cPkd-h5hDg,"Lake Erie Nature & Science Center",,"28728 Wolf Rd","Bay Village",OH,44140,41.4857,-81.9373,4.5,19,1
--I7YYLada0tSLkORTHb5Q,"Happy Moose Bar and Grill",,"9436 State Rte 14",Streetsboro,OH,44241,41.2426,-81.3526,3.5,61,1
--j-kaNMCo1-DYzddCsA5Q,"Q's Nails",Eastland,"3039 S Blvd, Ste C",Charlotte,NC,28209,35.2739,-80.7293,3.5,3,1
--KCl2FvVQpvjzmZSPyviA,"Hungry Howie's Pizza",,"6426 W Sugar Creek Rd, Unit A",Charlotte,NC,28269,35.3335,-80.7962,3,12,1
--kinfHwmtdjz03g8B8z8Q,"The Manor - Boutique Salon","Mount Pleasant and Davisville","659 Mt Pleasant Road",Toronto,ON,M4S,43.7054,-79.389,4.5,5,1
--KQsXc-clkO7oHRqGzSzg,"Sam's Club",,"15255 N Northsight Blvd",Scottsdale,AZ,85260,33.6228,-111.895,3,26,1
--lpHMVmkCuji0ZrpHtXEA,SkinRN,Anthem,"2610 Horizon Ridge Pkwy, Ste 100",Henderson,NV,89052,36.0028,-115.102,5,3,0
--LY7PrnEegglB7vnPCjQw,"International Newsagents","Old Town","351 High Street, New Town",Edinburgh,EDH,"EH1 1PW",55.9498,-3.19119,4,10,1
--Ni3oJ4VOqfOEu7Sj2Vzg,KFC,,"1245 Pearl Road",Brunswick,OH,44212,41.2419,-81.8411,2,6,1
--o5BoU7qYMALeVDK6mwVg,"Nightlife Tours",University,"1516 E Tropicana Ave, Ste 275","Las Vegas",NV,89109,36.1016,-115.132,3.5,6,1
--orEUqwTzz5QKbmyYbAWw,"Advantage Rent-A-Car",,"1610 E Rental Car Way",Phoenix,AZ,85034,33.4313,-112.047,2.5,3,1
--phjqoPSPa8sLmUVNby9w,"Maricopa County Department of Public Health",,"1645 E Roosevelt St",Phoenix,AZ,85006,33.4581,-112.046,4,8,1
--q6datkI-f0EoVheXNEeQ,"Santa Claus Parade",,"139 Wendell Avenue","North York",ON,"M9N 3K9",43.7149,-79.5262,3,4,1
--q7kSBRb0vWC8lSkXFByA,"Double Play Sports Bar",Southeast,"9495 Las Vegas Blvd S","Las Vegas",NV,89123,36.0167,-115.173,4,7,0
--qJNlGWyvPJfBrqwp9c0w,"Bella Vista",,"Im Asemwald 54",Stuttgart,BW,70599,48.7254,9.19325,3.5,30,1
--qvQS4MigHPykD2GV0-zw,"Pearson Moving",,"3498 N San Marcos Pl, Ste 5",Chandler,AZ,85225,33.3562,-111.845,4,31,1
--R3uiY2dB43MpdwtG6jhQ,"Don Valley North Toyota Scion, Service",,"3300 Steeles Avenue E",Markham,ON,"L3R 1G9",43.8159,-79.3421,3.5,10,1
--Rsj71PBe31h5YljVseKA,"Circle K",,"1850 W Happy Valley Rd",Phoenix,AZ,85085,33.7135,-112.099,4,6,1
--S62v0QgkqQaVUhFnNHrw,Denny's,,"6207 Wilson Mills Rd","Highland Heights",OH,44143,41.5394,-81.4551,2,22,1
--sdH6tFAdEs7j4Msr7nPA,"The Fragrance Shop",,"16836 Birkdale Commons Pkwy, Ste D",Huntersville,NC,28078,35.4452,-80.8803,5,3,1
--SrzpvFLwP_YFwB_Cetow,"Keung Kee Restaurant",Scarborough,"3300 Midland Avenue, Unit 41",Toronto,ON,"M1V 0C7",43.8068,-79.2889,3.5,38,1
--TcDRzRIxhvHM4DSgEuMA,"The Greens",,"2241 N Green Valley Pkwy",Henderson,NV,89014,36.0548,-115.084,2,4,1
--ttCFj_csKJhxnaMRNuiw,"Impressions Dental",,"5970 S Cooper Rd",Chandler,AZ,85249,33.2195,-111.807,3,32,1
--U98MNlDym2cLn36BBPgQ,"Pronto Pizza",,"7870 Idlewild Rd","Indian Trail",NC,28079,35.107,-80.6326,3,4,1
--ujyvoQlwVoBgMYtADiLA,"Primanti Bros.",,"830 Clairton Blvd",Pittsburgh,PA,15236,40.3239,-79.9438,3.5,66,1
--W4kqPWwXFycuqejFANmw,"SAE Institute",,"Stuttgarter Str. 23",Stuttgart,BW,70469,48.8106,9.16523,4.5,3,1
--wIGbLEhlpl_UeAIyDmZQ,"Galaxie Electronics","Squirrel Hill","2136 Murray Ave",Pittsburgh,PA,15217,40.4327,-79.9233,5,18,1
--WsruI0IGEoeRmkErU5Gg,"Dial Carpet Cleaning",Westside,"3111 S Valley Vw, #H-104","Las Vegas",NV,89102,36.1309,-115.191,5,13,1
--Y7NhBKzLTbNliMUX_wfg,"Pinnacle Restoration","Spring Valley","10075 Mystic Lake Ave","Las Vegas",NV,89148,36.0704,-115.313,5,7,1
--z7PM8AGaJP0aBmGMY7RA,"Nacho Mobile Auto Repair",,"2954 Westwood Dr","Las Vegas",NV,89109,36.1357,-115.176,4.5,14,1
-000aQFeK6tqVLndf7xORg,"Cool Cat Auto Repair",,"6348 N 27th Ave",Phoenix,AZ,85017,33.5311,-112.118,5,8,1
-00iClV0kYHkvipphtNn7Q,"Tonyc Salon & Spa",Etobicoke,"25 The West Mall",Etobicoke,ON,"M9C 1B8",43.6113,-79.5569,4.5,10,1
-01XupAWZEXbdNbxNg5mEg,"18 Degrees Neighborhood Grill",,"9375 E Bell Rd",Scottsdale,AZ,85260,33.6392,-111.882,3,72,1
-03HVYxkeYWaafEpNJo1SA,"GoodLife Vapes","Mount Pleasant and Davisville","2095 Yonge Street",Toronto,ON,"M4S 2A5",43.703,-79.3975,5,4,1
-050d_XIor1NpCuWkbIVaQ,"Matt's Big Breakfast",,"801 N 1st St",Phoenix,AZ,85004,33.4567,-112.072,4,700,0
-05uZNVbb8DhFweTEOoDVg,Subway,,"333 S Century Blvd",Rantoul,IL,61866,40.3068,-88.1555,2,3,1
-06-Fdi30wJx-JA8P7CAng,"China House",,"27241 Wolf Rd","Bay Village",OH,44140,41.4848,-81.9226,3.5,25,1
-092wE7j5HZOogMLAh40zA,"Wong's Jr",,"8317 W Peoria Ave",Peoria,AZ,85345,33.582,-112.237,3.5,83,1
-0aIra_B6iALlfqAriBSYA,Tea2go,,"5415 E High St, Ste 103",Phoenix,AZ,85054,33.6755,-111.965,5,22,1
-0aOudcaAyac0VJbMX-L1g,"Express Pizza & Grill",Willowdale,"4917 Bathurst",Toronto,ON,"M2R 1X8",43.7732,-79.4426,3,11,1
-0b86isaXMY0v4g-V8GZ9Q,"Knitting Tree",Dudgeon-Monroe,"2614 Monroe St",Madison,WI,53711,43.0576,-89.4284,3.5,12,0
-0BxAGlIk5DJAGVkpqBXxg,"The Coffee Bean & Tea Leaf","The Strip","3355 Las Vegas Blvd S","Las Vegas",NV,89162,36.1221,-115.168,3,38,1
-0CTrPQNiSyClxhdO4HSDQ,"Pizza Hut",,"3555 Don Mills Road","North York",ON,"M2H 3N3",43.7932,-79.3537,2,20,1
-0d-BfFSU0bwLcnMaGRxYw,"Beauty Nails","Bloordale Village","1196 Bloor Street W",Toronto,ON,"M6H 1N2",43.6594,-79.4379,3,9,1
-0d4L4U3vKnTT0MEgyX_WA,"Pick N Puff",,"6620 W Flamingo Rd, Ste 9","Las Vegas",NV,89103,36.115,-115.237,5,10,0
-0DET7VdEQOJVJ_v6klEug,"Flaming Kitchen","Brown's Corners","3235 York Regional Road 7",Markham,ON,"L3R 3P9",43.8484,-79.3487,3,25,1
-0DwB6Swi349EKfbBAOF7A,"Qi Natural Foods",Koreatown,"710 Bloor Street W",Toronto,ON,"M6G 1L4",43.6637,-79.4178,3.5,11,0
-0dWjxaPKrXAn8urSnkSLA,"Sandcastle Water Park",Homestead,"1000 Sandcastle Dr",Homestead,PA,15120,40.3985,-79.9268,3,27,1
-0Eb_A0tSrxLRQkKI9jx_g,"Travel Leaders",,"23601 Lorain Rd","North Olmsted",OH,44070,41.4323,-81.883,4.5,5,1
-0Fendn2TmhDJ-1s6gPi5g,"Tyler M. Christensen, DDS",Southeast,"10521 Jeffreys St, Ste 200",Henderson,NV,89052,36.0005,-115.12,4.5,12,1
-0GU6ghA7z4-xotUZfXl1w,"Sport Clips Haircuts - Chandler",,"800 N 54th St",Chandler,AZ,85226,33.3157,-111.969,5,7,1
-0Hj1hb_XW6ybWq2M7QhGA,"Fair Oaks Nursery and Garden Center","Starkweather - Yahar","134 S Fair Oaks Ave",Madison,WI,53704,43.0965,-89.3374,3,8,1
-0hYy3V50dM1Avy5jewUZg,"Victoria Barbers",Leith,"3 Haddington Place",Edinburgh,EDH,"EH7 4AE",55.9601,-3.18284,3.5,3,0
-0jz6c3C6i7RG7Ag22K-Pg,"Auto Action",,"5433 W Glendale Ave",Glendale,AZ,85301,33.5381,-112.177,2.5,5,1
-0KMvRFwDWdVBeTpT11iHw,"Pizza Nova",,"18 Levendale Rd","Richmond Hill",ON,"L4C 4H2",43.8822,-79.4411,2.5,3,1
-0KqNhmK40DTzwUPM_Ik9g,"Wesley Bolin Memorial Plaza",,"1700 W Washington St",Phoenix,AZ,85007,33.4481,-112.097,4.5,13,1
-0M3o2uWBnQZwd3hmfEwuw,"Ana's Nail Boutique & Spa",Etobicoke,"3349 Bloor Street W",Toronto,ON,"M8X 1E9",43.6448,-79.5219,4,4,1
-0mgn9dRi95otXd_h61LdA,"Buda Cafe",Willowdale,"5418 Yonge Street","North York",ON,"M2N 6X4",43.7756,-79.4148,3.5,23,0
-0mm8pqBSIOYZQHeo8XnkA,"Philthy Philly's",,"56 Davis Drive",Newmarket,ON,"L3Y 2M7",44.0552,-79.4784,4,32,1
-0nEqS3_A_nnUut4DrEPEg,"Yoga Digs",Greentree,"993 Greentree Rd",Pittsburgh,PA,15220,40.4177,-80.045,5,4,0
-0NhdsDJsdarxyDPR523ZQ,"Akco Lounge","Financial District","100 King St W",Toronto,ON,"M5X 1K7",43.6491,-79.3806,3,21,0
-0NrB58jqKqJfuUCDupcsw,"The Fry",Willowdale,"4864 Yonge Street","North York",ON,"M2N 5N2",43.7629,-79.4115,3.5,76,1
-0oNlErLlU7PQa-TpespdA,"Eighty Seven W Wine Bar",,"87 West St","Chagrin Falls",OH,44022,41.4317,-81.3935,4,7,0
-0qht1roIqleKiQkBLDkbw,"Cancun Resort Las Vegas by Diamond Resorts",Southeast,"8335 Las Vegas Blvd S","Las Vegas",NV,89123,36.038,-115.173,3,298,1
-0qqsy04kcYdXH3DOciaZw,"Eagle Crest Golf Course",Summerlin,"2203 Thomas W Ryan Blvd","Las Vegas",NV,89134,36.2008,-115.334,3.5,26,1
-0QtTRrAMn6DKLZNef3Ojg,"Al-Salam Market & Deli",,"10901 University City Blvd, Ste 104",Charlotte,NC,28213,35.3145,-80.7027,2.5,3,1
-0Sgh0QlUKVsWosCWJzGqQ,"Domino's Pizza",,"681 E Apache Blvd, Ste 104",Tempe,AZ,85281,33.4143,-111.929,2,42,1
-0T0jfPnuBRdpNTXpOQZcA,"Tim Hortons",,"9970 Highway 48",Markham,ON,"L3P 3J3",43.9086,-79.2684,2,4,1
-0t6o9LXMVQ3aV8CHhRTnA,"AZ International Marketplace",,"1920 W Broadway Rd",Mesa,AZ,85202,33.4089,-111.873,3.5,53,1
-0tgMGl7D9B10YjSN2ujLA,Dubliner,,"3841 E Thunderbird Rd, Ste 111",Phoenix,AZ,85032,33.6111,-111.999,3.5,112,1
-0uEqc2vw1xXtuI_r1xTNg,"Le Roy Pendu",Plateau-Mont-Royal,"804 Roy E",Montréal,QC,"H2L 1E3",45.521,-73.571,3,6,0
-0VImVWDeqewaA3th8fzIg,"Bachelor Vegas",,"4290 Cameron St, Ste 3A","Las Vegas",NV,89103,36.1119,-115.203,5,8,1
-0WegMt6Cy966qlDKhu6jA,"Game Seven Grill",,"201 S 4th St",Phoenix,AZ,85034,33.4456,-112.068,2,74,1
-0XFoI1UKfuRKwyAl85zAQ,"Best Western Inn",,"636 Griswold Rd",Elyria,OH,44035,41.4004,-82.1176,3.5,11,1
-0ZO00Vm2ADchytlEkoXmg,"Kidz Cuts By Lori",,"1535 W Warm Springs Rd",Henderson,NV,89014,36.0557,-115.052,5,66,1
-113IAvSQ4Nn_Jk7OrrPkg,Rent-a-Son,"Downtown Core",,Toronto,ON,,43.6532,-79.3832,4,5,1
-11PbySWhJQtK6USx4IP2A,"URBAN JUNGLE FUN PARK Mesa",,"5741 E Mckellips Rd",Mesa,AZ,85215,33.4512,-111.708,4,56,1
-13A6Y3NJYG0u5uEUAdoAQ,"Le Spot St-Denis",Plateau-Mont-Royal,"4056 Saint-Denis Rue",Montréal,QC,"H2W 2M5",45.5207,-73.5762,3.5,3,1
-153AjTW5luZPK4omEujWA,"Jody Maroni's Sausage Kingdom","The Strip","New York New York Hotel & Casino, 3790 Las Vegas Blvd S","Las Vegas",NV,89109,36.103,-115.174,3,5,0
-17RjDnOY9c7IsCcYUjx5Q,"Catholic Charities",Westside,"915 S Rainbow Blvd","Las Vegas",NV,89145,36.1611,-115.245,3,11,0
-17Uz92KtnWOpeEGVvg17g,"BCT Flooring and Showers",,,Tempe,AZ,85282,33.3891,-111.918,1,3,1
-1BPe8UjF2_l3nVk-DFUjA,"Journey Massage Therapy",,,Scottsdale,AZ,85259,33.591,-111.797,5,4,1
-1CI4H3DLkI-NdWLbIae6g,"Rôtisserie Benny & Co",,"1919 Chemin du Fer à Cheval",Sainte-Julie,QC,"J3E 2T4",45.5762,-73.3282,3.5,5,1
